nama kampung,jumlah suara,jumlah tps
2014-hakim-peteri-pintu,143,1
2015-simpur,235,1
2001-simpang-rahmat,500,3
2002-gajah-putih,607,3
2003-gayo-setie,98,1
2004-umah-besi,530,3
2005-pante-karya,255,2
2006-meriah-jaya,1120,5
2007-timang-gajah,738,3
2008-pantan-lues,312,2
2009-alam-jaya,244,1
2010-reronga,1009,5
